Step,numberOfAcceptedPeleSteps,currentEnergy,bindingEnergy,ligandSASA,ligandRMSD,H38_OG-L1_C3,H38_OG-L1_C7,H38_OG-L1_C10,H38_HG-H175_ND1,H175_HE2-H40_OE2,H175_HE2-H40_OE1,epoch,trajectory,Cluster
5,5,-3420.15,-12.3269,0.472021,2.58096,6.28111,10.2423,6.87858,1.97663,4.12545,2.12148,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
6,6,-3432.42,-11.1532,0.502812,3.5604,6.37376,10.482,8.89134,1.92774,4.05218,2.0832,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
10,7,-3449.78,-13.9156,0.448831,2.48034,6.88587,9.67819,7.2843,1.90694,3.51834,1.52506,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_2.xtc,0
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,-
1,1,-3328.52,-14.9464,0.418649,2.92855,6.64818,5.75656,8.41081,5.33705,4.84702,3.68986,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,0
3,2,-3341.95,-16.7207,0.362575,3.47084,7.75662,7.0403,4.71053,6.05032,4.51307,3.28888,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,0
5,3,-3357.22,-12.8772,0.412325,4.71822,8.71281,7.65393,5.22583,4.013,5.30105,4.02999,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_3.xtc,0
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_4.xtc,-
1,1,-3348.76,-19.6773,0.397847,2.47212,4.42131,8.29219,6.70094,5.18849,1.53663,3.62922,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_4.xtc,0
3,2,-3428.01,-18.6182,0.366857,4.12756,5.54907,4.63701,7.6518,5.12437,1.5116,3.53585,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_4.xtc,3
4,3,-3439.68,-14.5292,0.392856,4.92827,4.7681,7.24016,6.34366,5.17724,1.5939,3.62006,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_4.xtc,1
6,4,-3441.14,-3.08379,0.45128,5.12575,4.45943,8.5872,7.64695,5.21946,1.57694,3.60257,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_4.xtc,2
8,5,-3441.31,-2.59625,0.353111,4.67356,4.47866,8.07234,6.57852,5.21538,1.57249,3.59737,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_4.xtc,2
10,6,-3436.01,1.63262,0.352575,5.0967,4.16848,8.3973,7.36695,5.20007,1.57559,3.59925,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_4.xtc,2
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_5.xtc,-
1,1,-3429.67,-19.3025,0.36826,5.24096,6.1654,8.01537,4.60691,1.79303,1.5547,3.74658,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_5.xtc,4
6,2,-3458.73,-4.74823,0.458054,5.8376,7.14712,5.569,4.23979,1.79687,1.48801,3.67241,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_5.xtc,4
9,3,-3534.25,-15.2007,0.368746,5.37753,6.13804,5.17342,8.13633,1.87333,3.44453,1.48328,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_5.xtc,4
13,4,-3537.87,-16.091,0.384387,5.23416,4.92157,5.20029,9.01358,1.92187,3.42044,1.53339,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_5.xtc,3
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_6.xtc,-
1,1,-3337.72,-17.0381,0.402128,3.87886,6.67671,7.47727,3.49225,6.01005,3.82111,1.6629,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_6.xtc,0
2,2,-3406.31,1.86009,0.404891,4.62488,7.24808,6.99441,3.45874,5.95645,3.76627,1.56921,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_6.xtc,0
3,3,-3420.97,-17.1899,0.394812,5.80945,3.92692,8.36244,7.62574,4.6647,3.66883,1.62145,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_6.xtc,1
4,4,-3453.13,-13.807,0.361358,3.47234,7.17322,5.52998,9.32435,4.69487,3.67031,1.56852,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_6.xtc,2
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_7.xtc,-
1,1,-3315.19,-12.0847,0.332796,3.5874,7.9034,3.94991,7.86601,5.54447,6.59873,5.02859,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_7.xtc,-
3,2,-3349.18,-8.37977,0.532217,4.96708,7.53575,4.06295,7.39786,6.26944,4.47341,3.29024,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_7.xtc,2
5,3,-3348.46,-11.4558,0.445819,6.16364,7.96771,5.80794,5.95836,6.27748,4.38504,3.06316,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_7.xtc,1
7,4,-3355.75,-13.9729,0.432001,5.66701,8.19341,6.92915,4.68187,6.17741,4.32732,3.04312,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_7.xtc,4
8,5,-3369.92,-12.9283,0.44127,5.89826,7.77068,4.46483,8.94617,6.05014,4.36406,2.95088,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_7.xtc,4
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_8.xtc,-
1,1,-3359.12,-17.7947,0.468316,3.43031,4.23573,5.77536,7.22224,5.15417,3.87135,1.72482,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_8.xtc,0
3,2,-3431.54,-18.9262,0.455347,3.89979,4.63956,4.79264,6.70289,5.29083,3.81431,1.6226,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_8.xtc,0
4,3,-3421.27,-4.97393,0.430469,3.15918,3.60881,7.44567,7.35604,5.35504,3.81466,1.62454,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_8.xtc,2
5,4,-3440.42,-15.9778,0.404916,4.10815,5.58127,7.20744,7.61528,5.42794,3.7368,1.53379,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_8.xtc,2
6,5,-3449.16,-2.71966,0.452924,5.03831,5.81689,8.38182,7.0681,5.49461,3.75736,1.55837,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_8.xtc,1
9,6,-3454.39,-6.62823,0.420787,4.93343,7.60903,5.4396,8.13466,5.50043,3.7327,1.53237,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_8.xtc,2
12,7,-3451.1,3.75945,0.426705,5.65878,7.74226,4.36774,7.74563,5.62595,3.73482,1.53698,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_8.xtc,2
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_9.xtc,-
1,1,-3338.17,-15.7748,0.43416,3.1407,5.12704,8.49699,8.36341,5.30303,3.98059,2.13783,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_9.xtc,0
3,2,-3421.32,-22.3624,0.387646,2.66357,5.28672,9.71866,8.07444,5.24413,3.5742,1.68659,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_9.xtc,0
7,3,-3447.72,-15.4147,0.465966,3.75454,5.21554,9.11886,8.84753,4.80577,3.61018,1.59657,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_9.xtc,3
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_10.xtc,-
1,1,-3352.93,-20.4651,0.345962,5.30432,7.02497,8.10795,4.01882,6.10236,6.65804,5.11129,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_10.xtc,4
3,2,-3370.81,-16.6331,0.339851,5.24368,3.27103,7.59434,7.36969,4.78867,5.56678,4.41726,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_10.xtc,1
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_11.xtc,-
1,1,-3306.09,-14.1012,0.452093,4.20979,6.4746,8.09817,4.38773,7.06028,3.79636,1.61413,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_11.xtc,-
3,2,-3347.21,-19.4565,0.426145,4.64915,4.64405,4.43946,7.20197,6.72,3.66184,1.59803,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_11.xtc,0
5,3,-3369.05,-17.358,0.412325,5.51223,7.54419,4.76076,3.9949,4.69493,4.0165,1.85561,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_11.xtc,0
7,4,-3364.26,-10.1193,0.525784,6.60319,4.71852,7.51784,4.94187,6.638,3.84285,2.12483,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_11.xtc,1
8,5,-3407.28,-11.636,0.456597,4.44621,4.73743,3.89761,6.57115,6.31938,3.7901,1.90644,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_11.xtc,0
9,6,-3425.33,-15.2784,0.404207,4.15802,5.54233,5.87058,3.30386,4.62065,3.75564,1.77204,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_11.xtc,0
11,7,-3430.31,-4.88712,0.345464,4.6592,4.27731,6.5057,3.81014,3.59306,3.69321,1.88698,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_11.xtc,0
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_12.xtc,-
1,1,-3354.51,-18.9133,0.332202,3.21418,4.02307,7.91769,7.79582,6.56026,3.71875,1.52116,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_12.xtc,2
3,2,-3356.7,-25.1705,0.30117,3.82439,7.68888,9.50316,4.24003,6.25214,3.66422,1.60396,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_12.xtc,0
5,3,-3415.43,-20.0372,0.352936,4.94994,5.65756,6.9607,7.02934,6.19101,3.61658,1.61462,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_12.xtc,3
6,4,-3431.94,-12.6028,0.452569,5.84937,8.57337,6.96023,6.9294,6.24507,3.64113,1.59303,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_12.xtc,4
7,5,-3444.28,-13.23,0.426759,6.09875,8.23518,6.5465,7.60016,6.16575,3.66574,1.69861,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_12.xtc,4
9,6,-3468.49,-17.2911,0.362268,5.56402,7.02332,5.17842,9.3292,6.15171,3.59969,1.54663,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_12.xtc,4
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_13.xtc,-
1,1,-3317.43,-17.6216,0.349651,3.277,6.87046,5.40118,7.57971,1.84128,4.6508,3.42191,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_13.xtc,0
3,2,-3316.6,-21.2515,0.320495,2.88302,7.0384,7.08393,9.23804,3.05836,5.11688,4.10986,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_13.xtc,2
7,3,-3383.76,-24.6473,0.323347,2.44814,6.29858,7.48218,7.95737,6.00445,4.13553,2.70576,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_13.xtc,2
10,4,-3423.35,-6.39568,0.296855,2.77231,7.81275,6.40184,8.6336,5.98953,3.96651,2.18972,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_13.xtc,2
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_14.xtc,-
1,1,-3315.61,-17.9114,0.504711,3.58308,4.83967,6.44795,7.63408,5.141,3.80308,1.64862,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_14.xtc,0
2,2,-3362.19,-0.478416,0.604126,3.49345,4.302,6.81557,8.49011,5.2143,3.7761,1.57718,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_14.xtc,0
3,3,-3468.39,-9.08357,0.546072,4.4769,6.36854,4.90929,9.30914,5.29774,3.71337,1.53398,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_14.xtc,0
4,4,-3466.96,9.33634,0.531082,4.6323,9.20242,5.29272,8.06537,5.29818,3.69671,1.51769,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_14.xtc,0
5,5,-3506.88,-7.50754,0.552828,4.93105,10.556,7.14279,7.48898,5.12251,3.66015,1.58074,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_14.xtc,0
6,6,-3533.17,-8.72042,0.522061,4.34856,7.02778,6.07383,9.85991,5.27114,3.65796,1.57892,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_14.xtc,3
0,0,-3146.0,63.6404,0.310043,0.428145,3.82225,7.09424,7.16484,2.22216,1.72202,3.81578,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_15.xtc,-
1,1,-3425.39,-24.6716,0.281348,3.4614,6.00904,9.22759,6.55135,6.15749,6.39917,4.92494,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_15.xtc,0
5,2,-3436.63,-19.1116,0.290374,4.10581,6.482,8.6692,4.95682,5.14007,3.74156,2.45063,0,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/0/trajectory_15.xtc,0
0,0,-3424.27,-18.9277,0.287016,4.10564,6.48435,8.67178,4.95913,5.1417,3.74074,2.44643,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_1.xtc,-
1,1,-3445.82,-22.966,0.283953,3.61615,4.46543,7.0192,8.67556,6.19836,4.10993,2.94172,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_1.xtc,3
0,0,-3318.07,-10.5834,0.363297,4.24133,9.18757,4.55714,9.2713,2.27618,5.05887,3.09314,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_2.xtc,-
1,1,-3366.12,-20.7766,0.356887,4.56051,8.28994,4.61464,9.57094,2.87434,5.12609,3.94417,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_2.xtc,3
2,2,-3380.28,5.78544,0.392088,4.14145,6.96202,3.65599,8.69877,2.86357,5.0896,3.93455,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_2.xtc,3
3,3,-3422.8,-12.6544,0.410946,5.57124,8.09956,6.67411,5.84687,3.14707,5.02008,3.86291,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_2.xtc,4
7,4,-3431.07,-17.9872,0.378291,5.75226,7.6361,4.3848,6.02651,4.62187,4.08339,2.85482,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_2.xtc,4
11,5,-3428.94,-15.6355,0.406777,4.89741,6.44285,8.08685,4.69568,5.92426,4.19726,2.84487,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_2.xtc,4
0,0,-3353.26,-5.87196,0.438949,3.3476,7.46976,9.75076,6.7182,1.89771,4.20325,2.27761,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_3.xtc,-
1,1,-3429.78,-11.8652,0.509569,5.2117,9.84216,9.19446,5.8873,1.92365,4.00814,2.03048,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_3.xtc,1
4,2,-3431.62,-6.32972,0.599519,6.5792,10.5016,8.92728,5.39469,1.91247,3.69215,1.70538,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_3.xtc,1
6,3,-3436.82,-6.66047,0.62464,7.50888,11.8525,9.2626,7.36011,1.91298,3.58235,1.62483,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_3.xtc,1
8,4,-3440.47,-3.18379,0.745479,6.32173,11.8255,7.47829,8.50262,1.91078,3.58279,1.64942,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_3.xtc,0
10,5,-3444.16,-5.62086,0.655406,5.51519,8.70986,9.35043,7.28223,1.91027,3.58132,1.64847,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_3.xtc,0
12,6,-3447.3,-7.14875,0.621792,5.96287,7.95225,11.6808,7.55896,1.90962,3.58672,1.65581,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_3.xtc,1
0,0,-3328.73,-16.7689,0.346648,3.47085,7.756,7.04186,4.71721,6.04964,4.51514,3.28929,1,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/1/trajectory_4.xtc,-
